N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1436.0,메리츠 S&P 유럽탄소배출권 선물 ETN(H),15260.0,0.0,0.00%,0.0,15260.0,15260.0,15260.0
1437.0,TRUE S&P 유럽탄소배출권 선물 ETN(H),15235.0,0.0,0.00%,0.0,15235.0,15235.0,15235.0
1438.0,SOL 코스닥150,13570.0,30.0,+0.22%,0.0,13585.0,13585.0,13395.0
1439.0,KODEX 미국S&P500(H),10120.0,5.0,+0.05%,0.0,10140.0,10140.0,10115.0
1440.0,유유제약1우,6660.0,70.0,-1.04%,1000.0,6750.0,6890.0,6560.0
1441.0,신한 FnGuide 폐기물처리 ETN,7505.0,20.0,-0.27%,0.0,7545.0,7545.0,7505.0
1442.0,QV 인버스 레버리지 WTI원유 선물 ETN(H),100.0,0.0,0.00%,0.0,100.0,100.0,95.0
1443.0,KODEX 200가치저변동,9935.0,30.0,+0.30%,0.0,9915.0,9945.0,9885.0
1444.0,메리츠 인버스 2X 국채30년 ETN,14880.0,75.0,+0.51%,0.0,14840.0,14880.0,14780.0
1445.0,KODEX 다우존스미국리츠(H),11335.0,140.0,-1.22%,0.0,11355.0,11355.0,11320.0
1446.0,KODEX 필수소비재,7350.0,60.0,-0.81%,0.0,7415.0,7415.0,7345.0
1447.0,KBSTAR 글로벌메타버스Moorgate,8350.0,40.0,+0.48%,0.0,8320.0,8390.0,8315.0
1448.0,TIGER 단기선진하이일드(합성 H),12150.0,30.0,-0.25%,0.0,12215.0,12215.0,12135.0
1449.0,하나 S&P 레버리지 WTI원유 선물 ETN,14575.0,125.0,+0.87%,0.0,14565.0,14630.0,14535.0
1450.0,QV 블룸버그 2X WTI원유선물 ETN,14535.0,100.0,+0.69%,0.0,14565.0,14615.0,14465.0
1451.0,KBSTAR 글로벌클린에너지S&P,9675.0,20.0,+0.21%,0.0,9695.0,9695.0,9555.0
1452.0,신한 블룸버그 레버리지 WTI원유 선물 ETN,14505.0,85.0,+0.59%,0.0,14490.0,14610.0,14475.0
